Date,M1,M2,M3,M4,M5,M6,M7,M8,M9,Grand Total,,,
4/1/16 12:00 AM,0,2,2,2,2,2,3,1,2,16,,,
4/1/16 1:00 AM,1,0,2,3,1,1,1,1,1,11,,,
4/1/16 2:00 AM,3,1,0,0,2,2,2,0,2,12,,,
4/1/16 3:00 AM,3,1,2,1,1,2,1,4,2,17,,,
4/1/16 4:00 AM,2,1,1,3,1,1,1,1,2,13,,,
4/1/16 5:00 AM,1,0,1,2,2,0,1,0,1,8,,,
4/1/16 6:00 AM,4,0,0,3,3,1,3,1,0,15,,,
4/1/16 7:00 AM,2,1,1,3,2,1,3,0,1,14,,,
4/1/16 8:00 AM,0,0,2,2,0,1,1,2,1,9,,,
4/1/16 9:00 AM,1,1,1,2,1,0,2,0,1,9,,,
4/1/16 10:00 AM,1,1,1,0,1,1,3,1,1,10,,,
4/1/16 11:00 AM,0,1,2,2,2,0,1,1,2,11,,,
4/1/16 12:00 PM,1,1,0,1,1,1,0,1,2,8,,,
4/1/16 1:00 PM,1,1,1,2,4,1,0,1,3,14,,,
4/1/16 2:00 PM,1,0,0,2,1,0,1,1,2,8,,,
4/1/16 3:00 PM,0,1,0,1,1,1,0,1,1,6,,,
4/1/16 4:00 PM,1,1,2,2,1,1,1,1,1,11,,,
4/1/16 5:00 PM,1,3,0,1,2,1,1,1,1,11,,,0
4/1/16 6:00 PM,0,1,0,1,1,0,0,1,0,4,,,
4/1/16 7:00 PM,1,1,1,1,2,0,1,3,0,10,,,
4/1/16 8:00 PM,3,1,0,1,2,0,2,0,2,11,,,
4/1/16 9:00 PM,0,2,2,1,1,0,0,1,1,8,,,
4/1/16 10:00 PM,2,1,2,3,1,1,1,2,2,15,,,
4/1/16 11:00 PM,1,0,1,1,2,1,1,1,1,9,,,
4/2/16 1:00 AM,3,0,0,0,1,1,2,1,1,9,,,
4/2/16 2:00 AM,0,1,1,3,3,0,2,0,2,12,,,
4/2/16 3:00 AM,1,1,1,2,2,0,2,2,2,13,,,
4/2/16 4:00 AM,2,2,0,2,2,1,2,1,1,13,,,
4/2/16 5:00 AM,0,1,0,1,1,0,2,1,1,7,,,
4/2/16 6:00 AM,2,2,1,2,2,1,0,0,2,12,,,
4/2/16 7:00 AM,3,1,0,0,1,0,0,2,0,7,,,
4/2/16 8:00 AM,4,1,1,1,2,2,1,2,2,16,,,
4/2/16 9:00 AM,1,0,1,2,1,1,1,2,2,11,,,
4/2/16 10:00 AM,2,2,1,0,2,0,1,0,2,10,,,
4/2/16 11:00 AM,0,0,0,1,1,1,0,2,2,7,,,
4/2/16 12:00 PM,0,2,1,2,1,1,1,3,1,12,,,
4/2/16 1:00 PM,0,3,2,1,2,0,1,2,1,12,,,
4/2/16 2:00 PM,3,3,1,1,0,2,0,1,1,12,,,
4/2/16 3:00 PM,1,1,3,2,2,0,1,4,2,16,,,
4/2/16 4:00 PM,3,1,0,0,2,3,3,1,2,15,,,
4/2/16 5:00 PM,3,2,0,2,1,2,2,3,0,15,,,
4/2/16 6:00 PM,2,3,0,2,1,1,0,0,0,9,,,
4/2/16 7:00 PM,0,0,1,1,2,0,0,0,2,6,,,
4/2/16 8:00 PM,2,1,0,1,2,2,1,2,0,11,,,
4/2/16 9:00 PM,2,2,1,1,3,1,0,1,2,13,,,
4/2/16 10:00 PM,4,0,1,2,3,2,1,1,2,16,,,
4/2/16 11:00 PM,2,0,3,1,1,2,1,0,2,12,,,
4/3/16 12:00 AM,2,0,0,0,0,1,2,0,0,5,,,
4/3/16 1:00 AM,0,1,2,1,1,1,0,1,2,9,,,
4/3/16 2:00 AM,1,2,2,2,1,1,1,0,2,12,,,
4/3/16 3:00 AM,4,0,1,4,2,1,1,2,1,16,,,
4/3/16 4:00 AM,3,2,1,1,1,1,2,1,0,12,,,
4/3/16 5:00 AM,1,3,1,0,2,1,0,2,1,11,,,
4/3/16 6:00 AM,2,3,2,1,1,0,2,2,0,13,,,
4/3/16 7:00 AM,3,1,0,1,3,3,1,0,3,15,,,
4/3/16 8:00 AM,2,0,0,2,1,1,2,0,0,8,,,
4/3/16 9:00 AM,2,1,1,3,2,2,1,3,2,17,,,
4/3/16 10:00 AM,1,1,0,3,1,1,0,2,2,11,,,
4/3/16 11:00 AM,4,1,1,1,0,1,0,1,1,10,,,
4/3/16 12:00 PM,2,1,2,2,1,1,1,1,2,13,,,
4/3/16 1:00 PM,1,1,1,1,2,1,1,0,2,10,,,
4/3/16 2:00 PM,1,1,2,3,1,1,3,3,2,17,,,
4/3/16 3:00 PM,1,0,0,1,3,0,2,1,3,11,,,
4/3/16 4:00 PM,1,0,0,1,2,0,2,2,0,8,,,
4/3/16 5:00 PM,3,2,2,2,1,1,1,0,2,14,,,
4/3/16 6:00 PM,1,1,2,2,2,0,0,1,3,12,,,
4/3/16 7:00 PM,0,2,1,1,2,1,0,0,2,9,,,
4/3/16 8:00 PM,2,2,1,1,2,1,1,1,1,12,,,
4/3/16 9:00 PM,1,1,0,2,2,1,2,0,1,10,,,
4/3/16 10:00 PM,2,0,0,1,3,1,0,3,1,11,,,
4/3/16 11:00 PM,3,1,2,1,2,0,4,1,2,16,,,
4/4/16 12:00 AM,2,1,2,1,1,2,0,2,0,11,,,
4/4/16 1:00 AM,2,2,0,4,0,0,1,1,2,12,,,
4/4/16 2:00 AM,1,1,2,2,1,0,1,1,0,9,,,
4/4/16 3:00 AM,2,0,1,2,2,1,1,0,0,9,,,
4/4/16 4:00 AM,0,0,1,1,2,0,2,2,3,11,,,
4/4/16 5:00 AM,2,3,0,3,3,0,3,2,2,18,,,
4/4/16 6:00 AM,2,2,1,0,2,0,2,1,2,12,,,
4/4/16 7:00 AM,3,2,0,2,3,1,0,1,3,15,,,
4/4/16 8:00 AM,3,1,1,2,0,1,1,0,1,10,,,
4/4/16 9:00 AM,1,2,0,0,2,1,1,2,0,9,,,
4/4/16 10:00 AM,2,2,1,2,0,0,1,1,1,10,,,
4/4/16 11:00 AM,1,0,0,1,3,0,3,3,0,11,,,
4/4/16 12:00 PM,2,2,1,1,1,2,3,1,3,16,,,
4/4/16 1:00 PM,2,2,3,3,1,2,1,0,2,16,,,
4/4/16 2:00 PM,1,0,1,2,3,1,1,1,3,13,,,
4/4/16 3:00 PM,1,0,2,1,1,2,1,2,3,13,,,
4/4/16 4:00 PM,2,1,2,2,1,2,1,0,3,14,,,
4/4/16 5:00 PM,2,1,1,1,2,1,1,2,1,12,,,
4/4/16 6:00 PM,3,2,0,2,1,1,2,0,1,12,,,
4/4/16 7:00 PM,1,1,2,2,2,1,2,0,1,12,,,
4/4/16 8:00 PM,0,0,3,2,2,2,1,1,3,14,,,
4/4/16 9:00 PM,1,0,1,2,2,3,0,0,2,11,,,
4/4/16 10:00 PM,3,2,3,0,0,2,0,3,2,15,,,
4/4/16 11:00 PM,2,2,0,1,2,1,1,1,2,12,,,
4/5/16 12:00 AM,1,0,1,2,0,1,1,1,1,8,,,
4/5/16 1:00 AM,2,1,1,2,3,0,2,1,2,14,,,
4/5/16 2:00 AM,1,0,2,1,1,1,0,1,2,9,,,
4/5/16 3:00 AM,3,2,2,2,2,1,0,0,2,14,,,
4/5/16 4:00 AM,2,2,0,1,2,1,1,4,0,13,,,
4/5/16 5:00 AM,2,2,2,3,2,2,3,2,2,20,,,
4/5/16 6:00 AM,1,0,3,2,0,2,0,3,1,12,,,
4/5/16 7:00 AM,1,2,0,2,0,1,1,0,2,9,,,
4/5/16 8:00 AM,1,0,3,2,3,0,2,1,2,14,,,
4/5/16 9:00 AM,3,0,1,1,1,2,2,2,1,13,,,
4/5/16 10:00 AM,2,1,1,0,3,2,2,1,2,14,,,
4/5/16 11:00 AM,1,1,1,1,3,0,1,0,3,11,,,
4/5/16 12:00 PM,2,2,0,2,1,1,1,2,3,14,,,
4/5/16 1:00 PM,2,1,0,2,2,1,2,2,4,16,,,
4/5/16 2:00 PM,2,2,1,1,3,1,1,1,2,14,,,
4/5/16 3:00 PM,3,1,1,3,1,1,0,0,1,11,,,
4/5/16 4:00 PM,1,2,3,2,1,2,0,0,2,13,,,
4/5/16 5:00 PM,1,1,1,2,2,0,2,2,2,13,,,
4/5/16 6:00 PM,0,0,1,1,4,1,2,1,4,14,,,
4/5/16 7:00 PM,0,1,0,0,1,1,2,2,0,7,,,
4/5/16 8:00 PM,1,1,0,2,1,2,2,0,2,11,,,
4/5/16 9:00 PM,2,0,3,1,2,2,0,1,2,13,,,
4/5/16 10:00 PM,3,3,1,1,4,2,3,0,3,20,,,
4/5/16 11:00 PM,1,1,0,2,2,3,1,2,2,14,,,
4/6/16 1:00 AM,2,2,2,2,2,1,0,1,1,13,,,
4/6/16 2:00 AM,2,1,3,1,1,2,1,3,3,17,,,
4/6/16 3:00 AM,2,1,1,2,0,1,1,1,1,10,,,
4/6/16 4:00 AM,1,1,1,2,1,2,3,0,2,13,,,
4/6/16 5:00 AM,1,0,3,1,2,0,2,2,0,11,,,
4/6/16 6:00 AM,2,1,2,1,1,0,2,2,1,12,,,
4/6/16 7:00 AM,0,1,3,2,0,1,0,2,1,10,,,
4/6/16 8:00 AM,2,1,0,1,2,2,1,0,1,10,,,
4/6/16 9:00 AM,1,0,0,2,2,2,0,1,2,10,,,
4/6/16 10:00 AM,1,0,0,0,3,2,2,3,1,12,,,
4/6/16 11:00 AM,1,1,1,1,2,3,3,1,2,15,,,
4/6/16 12:00 PM,1,0,1,1,0,0,2,2,1,8,,,
4/6/16 1:00 PM,2,0,0,2,2,1,0,0,1,8,,,
4/6/16 2:00 PM,0,2,3,0,0,0,1,0,2,8,,,
4/6/16 3:00 PM,3,2,0,0,2,1,0,1,2,11,,,
4/6/16 4:00 PM,1,0,1,2,3,1,0,0,1,9,,,
4/6/16 5:00 PM,1,0,3,1,3,0,4,1,3,16,,,
4/6/16 6:00 PM,3,3,2,1,1,0,1,0,2,13,,,
4/6/16 7:00 PM,2,2,0,2,0,1,1,1,2,11,,,
4/6/16 8:00 PM,3,0,1,3,3,3,1,2,2,18,,,
4/6/16 9:00 PM,2,2,2,3,0,2,2,2,0,15,,,
4/6/16 10:00 PM,2,1,0,1,2,1,2,1,1,11,,,
4/6/16 11:00 PM,1,1,0,3,4,1,0,1,3,14,,,
4/7/16 12:00 AM,2,1,0,1,2,1,0,1,1,9,,,
4/7/16 1:00 AM,2,1,1,1,2,2,1,2,2,14,,,
4/7/16 2:00 AM,1,1,0,0,2,3,2,0,0,9,,,
4/7/16 3:00 AM,1,2,0,2,2,1,0,4,2,14,,,
4/7/16 4:00 AM,4,1,1,0,2,2,1,0,3,14,,,
4/7/16 5:00 AM,1,1,2,1,3,0,0,0,1,9,,,
4/7/16 6:00 AM,1,1,1,1,1,0,1,2,0,8,,,
4/7/16 7:00 AM,2,0,2,2,2,1,0,0,1,10,,,
4/7/16 8:00 AM,2,1,1,1,1,2,2,1,1,12,,,
4/7/16 9:00 AM,1,0,1,2,2,1,1,1,2,11,,,
4/7/16 10:00 AM,2,1,1,1,2,1,1,1,1,11,,,
4/7/16 11:00 AM,3,1,3,1,2,0,1,1,2,14,,,
4/7/16 12:00 PM,3,1,0,1,1,0,3,0,2,11,,,
4/7/16 1:00 PM,1,2,1,1,2,0,3,0,1,11,,,
4/7/16 2:00 PM,1,1,1,2,3,2,1,1,0,12,,,
4/7/16 3:00 PM,0,0,2,0,1,0,1,0,3,7,,,
4/7/16 4:00 PM,2,1,2,1,0,1,0,1,1,9,,,
4/7/16 5:00 PM,4,0,1,1,1,2,1,0,2,12,,,
4/7/16 6:00 PM,1,1,1,3,2,0,2,0,0,10,,,
4/7/16 7:00 PM,2,0,0,1,2,1,0,2,1,9,,,
4/7/16 8:00 PM,0,1,1,2,0,2,0,0,3,9,,,
4/7/16 9:00 PM,1,2,0,1,1,0,2,2,2,11,,,
4/7/16 10:00 PM,1,2,2,2,2,2,1,0,2,14,,,
4/7/16 11:00 PM,1,1,0,1,3,0,1,2,0,9,,,
4/8/16 12:00 AM,1,1,0,1,2,1,0,1,0,7,,,
4/8/16 1:00 AM,3,2,1,3,1,1,0,2,1,14,,,
4/8/16 2:00 AM,3,0,2,0,3,1,1,0,0,10,,,
4/8/16 3:00 AM,1,2,0,0,2,0,2,2,1,10,,,
4/8/16 4:00 AM,2,1,1,2,0,0,1,1,2,10,,,
4/8/16 5:00 AM,2,2,0,2,2,3,1,2,2,16,,,
4/8/16 6:00 AM,1,1,1,2,1,1,3,2,0,12,,,
4/8/16 7:00 AM,3,2,0,3,1,1,0,1,2,13,,,
4/8/16 8:00 AM,2,0,1,2,1,0,1,1,3,11,,,
4/8/16 9:00 AM,2,2,3,0,1,0,0,1,2,11,,,
4/8/16 10:00 AM,0,2,1,0,0,1,3,1,3,11,,,
4/8/16 11:00 AM,0,2,3,1,1,2,3,2,3,17,,,
4/8/16 12:00 PM,3,1,1,0,0,2,1,1,2,11,,,
4/8/16 1:00 PM,3,2,2,0,0,2,1,0,1,11,,,
4/8/16 2:00 PM,1,0,2,0,0,0,1,3,1,8,,,
4/8/16 3:00 PM,2,3,2,0,1,2,0,2,2,14,,,
4/8/16 4:00 PM,1,2,2,0,0,1,1,0,1,8,,,
4/8/16 5:00 PM,2,1,2,2,1,1,2,1,1,13,,,
4/8/16 6:00 PM,1,1,0,1,0,1,0,1,3,8,,,
4/8/16 7:00 PM,2,1,1,0,1,0,0,2,2,9,,,
4/8/16 8:00 PM,2,2,2,1,1,0,0,0,1,9,,,
4/8/16 9:00 PM,3,0,0,0,0,2,1,1,1,8,,,
4/8/16 10:00 PM,1,2,0,1,0,2,2,2,3,13,,,
4/8/16 11:00 PM,2,0,0,0,0,1,0,1,2,6,,,
4/9/16 12:00 AM,0,1,3,0,2,2,1,0,2,11,,,
4/9/16 1:00 AM,2,1,2,0,0,0,0,2,3,10,,,
4/9/16 2:00 AM,3,1,2,0,0,1,1,1,1,10,,,
4/9/16 3:00 AM,3,2,1,0,0,2,3,0,1,12,,,
4/9/16 4:00 AM,2,2,2,1,0,1,0,1,3,12,,,
4/9/16 5:00 AM,1,0,2,0,0,1,1,2,2,9,,,
4/9/16 6:00 AM,2,1,1,1,0,1,1,1,1,9,,,
4/9/16 7:00 AM,3,0,0,0,0,1,2,2,3,11,,,
4/9/16 8:00 AM,3,2,1,1,1,1,1,1,1,12,,,
4/9/16 9:00 AM,2,0,2,0,0,1,2,0,3,10,,,
4/9/16 10:00 AM,1,2,1,0,0,1,3,1,2,11,,,
4/9/16 11:00 AM,1,1,0,1,1,0,0,2,1,7,,,
4/9/16 12:00 PM,0,1,3,0,0,3,2,2,0,11,,,
4/9/16 1:00 PM,0,1,1,0,1,1,2,1,3,10,,,
4/9/16 2:00 PM,1,2,1,1,0,0,3,1,3,12,,,
4/9/16 3:00 PM,1,0,1,1,0,1,1,1,3,9,,,
4/9/16 4:00 PM,1,1,0,0,0,1,1,0,1,5,,,
4/9/16 5:00 PM,2,1,2,1,0,2,1,1,0,10,,,
4/9/16 6:00 PM,2,1,1,1,1,2,1,0,2,11,,,
4/9/16 7:00 PM,3,2,2,0,1,0,2,2,2,14,,,
4/9/16 8:00 PM,2,0,0,0,0,3,2,0,1,8,,,
4/9/16 9:00 PM,1,1,3,1,1,1,3,2,0,13,,,
4/9/16 10:00 PM,1,3,0,0,0,2,2,2,3,13,,,
4/9/16 11:00 PM,2,0,0,0,0,2,4,3,2,13,,,
4/10/16 12:00 AM,3,0,0,0,1,1,2,2,2,11,,,
4/10/16 1:00 AM,1,2,0,0,0,3,0,2,1,9,,,
4/10/16 2:00 AM,3,0,0,1,0,1,1,2,1,9,,,
4/10/16 3:00 AM,1,1,0,0,1,0,0,0,1,4,,,
4/10/16 4:00 AM,1,2,1,0,0,0,1,1,2,8,,,
4/10/16 5:00 AM,2,0,1,0,0,1,1,2,2,9,,,
4/10/16 6:00 AM,2,1,1,1,0,1,0,3,1,10,,,
4/10/16 7:00 AM,1,2,1,0,0,0,0,0,1,5,,,
4/10/16 8:00 AM,3,3,1,0,0,1,0,1,2,11,,,
4/10/16 9:00 AM,3,1,0,0,1,1,1,0,2,9,,,
4/10/16 10:00 AM,2,2,2,1,0,3,1,0,0,11,,,
4/10/16 11:00 AM,1,2,2,0,0,1,0,1,0,7,,,
4/10/16 12:00 PM,2,1,1,1,0,2,1,0,2,10,,,
4/10/16 1:00 PM,3,2,1,0,0,1,0,0,3,10,,,
4/10/16 2:00 PM,2,1,1,0,1,1,0,1,1,8,,,
4/10/16 3:00 PM,0,2,0,0,0,1,3,1,0,7,,,
4/10/16 4:00 PM,4,1,1,1,0,0,1,1,1,10,,,
4/10/16 5:00 PM,1,0,0,0,0,1,2,0,1,5,,,
4/10/16 6:00 PM,3,0,0,0,0,0,1,1,1,6,,,
4/10/16 7:00 PM,1,1,1,0,1,2,1,0,2,9,,,
4/10/16 8:00 PM,1,2,1,0,0,2,0,1,2,9,,,
4/10/16 9:00 PM,2,1,1,0,0,1,2,1,1,9,,,
4/10/16 10:00 PM,2,3,0,0,0,0,1,0,2,8,,,
4/10/16 11:00 PM,0,0,1,1,1,1,1,0,0,5,,,
4/11/16 12:00 AM,1,0,3,0,1,1,1,1,0,8,,,
4/11/16 1:00 AM,1,2,1,0,1,1,2,0,1,9,,,
4/11/16 2:00 AM,3,1,1,0,0,1,1,1,2,10,,,
4/11/16 3:00 AM,2,1,2,2,1,0,2,1,2,13,,,
4/11/16 4:00 AM,1,1,1,0,0,0,2,0,0,5,,,
4/11/16 5:00 AM,2,1,0,0,0,0,2,1,2,8,,,
4/11/16 6:00 AM,2,1,2,0,1,1,1,1,1,10,,,
4/11/16 7:00 AM,0,1,0,2,0,1,1,2,3,10,,,
4/11/16 8:00 AM,1,1,2,0,1,1,1,1,1,9,,,
4/11/16 9:00 AM,0,2,1,1,0,0,0,0,2,6,,,
4/11/16 10:00 AM,2,1,1,0,0,0,1,1,1,7,,,
4/11/16 11:00 AM,1,0,0,2,0,2,1,0,2,8,,,
4/11/16 12:00 PM,0,0,0,0,0,1,0,0,3,4,,,
4/11/16 1:00 PM,1,4,1,1,0,2,0,1,0,10,,,
4/11/16 2:00 PM,2,1,1,1,0,0,0,0,3,8,,,
4/11/16 3:00 PM,1,0,1,0,2,0,1,2,1,8,,,
4/11/16 4:00 PM,3,3,2,1,0,2,1,1,1,14,,,
4/11/16 5:00 PM,1,2,1,0,0,1,0,0,2,7,,,
4/11/16 6:00 PM,1,0,1,0,0,1,2,2,2,9,,,
4/11/16 7:00 PM,1,0,0,0,0,2,1,1,2,7,,,
4/11/16 8:00 PM,2,1,0,0,0,1,0,2,2,8,,,
4/11/16 9:00 PM,2,1,1,1,1,2,0,1,0,9,,,
4/11/16 10:00 PM,2,2,1,0,0,3,2,1,0,11,,,
4/11/16 11:00 PM,2,0,1,0,2,0,3,1,1,10,,,
4/12/16 12:00 AM,1,2,2,0,1,0,1,2,2,11,,,
4/12/16 1:00 AM,2,1,1,0,2,1,2,1,2,12,,,
4/12/16 2:00 AM,1,2,2,2,0,0,0,3,3,13,,,
4/12/16 3:00 AM,0,1,0,0,0,2,1,2,1,7,,,
4/12/16 4:00 AM,3,3,0,0,0,3,1,1,3,14,,,
4/12/16 5:00 AM,0,0,0,0,0,0,1,2,1,4,,,
4/12/16 6:00 AM,3,2,1,0,0,1,1,2,1,11,,,
4/12/16 7:00 AM,0,2,0,0,1,1,2,2,2,10,,,
4/12/16 8:00 AM,1,1,1,0,0,1,1,1,2,8,,,
4/12/16 9:00 AM,3,1,1,0,1,0,1,2,2,11,,,
4/12/16 10:00 AM,2,1,2,0,0,0,0,1,2,8,,,
4/12/16 11:00 AM,2,2,1,0,1,1,2,0,2,11,,,
4/12/16 12:00 PM,2,1,1,0,0,1,1,2,2,10,,,
4/12/16 1:00 PM,3,0,2,1,0,2,1,0,1,10,,,
4/12/16 2:00 PM,1,1,0,1,0,1,3,0,0,7,,,
4/12/16 3:00 PM,1,2,1,2,1,0,1,2,3,13,,,
4/12/16 4:00 PM,1,0,1,1,0,2,0,1,2,8,,,
4/12/16 5:00 PM,3,3,0,1,0,0,0,0,2,9,,,
4/12/16 6:00 PM,2,2,1,0,0,0,1,3,0,9,,,
4/12/16 7:00 PM,4,2,3,0,0,3,1,0,1,14,,,
4/12/16 8:00 PM,1,1,0,0,1,1,1,2,2,9,,,
4/12/16 9:00 PM,2,1,4,0,1,2,1,1,3,15,,,
4/12/16 10:00 PM,1,1,0,0,0,0,1,0,2,5,,,
4/12/16 11:00 PM,2,2,3,1,1,0,2,2,1,14,,,
4/13/16 12:00 AM,0,0,1,0,0,2,2,2,1,8,,,
4/13/16 1:00 AM,3,0,1,0,0,0,2,2,2,10,,,
4/13/16 2:00 AM,4,2,1,1,0,0,1,0,2,11,,,
4/13/16 3:00 AM,3,1,2,0,0,0,2,1,1,10,,,
4/13/16 4:00 AM,2,3,1,0,1,0,1,3,3,14,,,
4/13/16 5:00 AM,1,1,0,0,1,0,1,2,0,6,,,
4/13/16 6:00 AM,2,2,2,1,0,1,2,3,3,16,,,
4/13/16 7:00 AM,0,1,1,1,1,1,2,1,1,9,,,
4/13/16 8:00 AM,3,1,1,0,0,0,2,1,2,10,,,
4/13/16 9:00 AM,3,0,1,0,0,3,0,1,2,10,,,
4/13/16 10:00 AM,1,0,0,1,0,0,3,0,2,7,,,
4/13/16 11:00 AM,4,2,1,1,0,0,2,0,0,10,,,
4/13/16 12:00 PM,2,0,1,0,0,0,0,0,2,5,,,
4/13/16 1:00 PM,0,0,1,1,0,0,2,1,2,7,,,
4/13/16 2:00 PM,3,0,2,1,0,2,2,2,1,13,,,
4/13/16 3:00 PM,0,1,1,0,0,0,2,1,2,7,,,
4/13/16 4:00 PM,2,1,1,1,1,1,1,2,1,11,,,
4/13/16 5:00 PM,2,1,0,0,0,0,1,2,1,7,,,
4/13/16 6:00 PM,1,3,2,0,0,2,1,2,3,14,,,
4/13/16 7:00 PM,1,0,1,1,1,0,3,0,2,9,,,
4/13/16 8:00 PM,2,1,2,0,0,0,2,2,3,12,,,
4/13/16 9:00 PM,2,0,2,0,0,1,0,0,1,6,,,
4/13/16 10:00 PM,1,4,1,0,0,2,0,1,0,9,,,
4/13/16 11:00 PM,2,1,0,0,0,0,3,0,0,6,,,
4/14/16 12:00 AM,2,2,2,1,1,2,0,3,3,16,,,
4/14/16 1:00 AM,0,1,1,0,0,2,4,2,2,12,,,
4/14/16 2:00 AM,2,0,1,0,0,0,1,0,3,7,,,
4/14/16 3:00 AM,2,0,1,3,0,1,2,1,1,11,,,
4/14/16 4:00 AM,1,0,3,0,0,0,1,1,0,6,,,
4/14/16 5:00 AM,1,2,0,0,0,0,1,2,2,8,,,
4/14/16 6:00 AM,2,3,0,0,0,0,1,3,2,11,,,
4/14/16 7:00 AM,1,2,0,0,0,2,3,1,2,11,,,
4/14/16 8:00 AM,2,2,0,1,1,1,3,0,2,12,,,
4/14/16 9:00 AM,2,1,2,0,0,1,1,0,1,8,,,
4/14/16 10:00 AM,1,2,2,0,0,2,0,0,1,8,,,
4/14/16 11:00 AM,3,0,0,1,0,1,0,0,2,7,,,
4/14/16 12:00 PM,0,0,0,0,0,0,1,0,4,5,,,
4/14/16 1:00 PM,0,2,0,0,0,2,0,2,2,8,,,
4/14/16 2:00 PM,0,1,2,0,0,1,3,1,2,10,,,
4/14/16 3:00 PM,3,1,2,0,0,0,0,3,2,11,,,
4/14/16 4:00 PM,3,2,0,0,0,1,3,0,3,12,,,
4/14/16 5:00 PM,0,1,1,0,0,4,1,0,1,8,,,
4/14/16 6:00 PM,2,2,0,0,1,2,1,1,2,11,,,
4/14/16 7:00 PM,0,2,2,0,1,2,2,0,2,11,,,
4/14/16 8:00 PM,2,1,2,1,0,1,1,1,1,10,,,
4/14/16 9:00 PM,1,2,2,0,0,1,1,1,2,10,,,
4/14/16 10:00 PM,2,2,1,0,0,1,1,3,1,11,,,
4/14/16 11:00 PM,2,2,1,0,0,0,1,1,0,7,,,
4/15/16 12:00 AM,1,2,0,0,1,0,2,2,1,9,,,
4/15/16 1:00 AM,2,2,2,2,0,1,2,1,1,13,,,
4/15/16 2:00 AM,2,2,0,0,0,1,0,1,2,8,,,
4/15/16 3:00 AM,0,0,0,0,0,2,1,2,3,8,,,
4/15/16 4:00 AM,0,1,0,0,1,1,1,1,2,7,,,
4/15/16 5:00 AM,2,1,2,0,0,1,0,0,3,9,,,
4/15/16 6:00 AM,3,0,1,1,0,2,0,0,2,9,,,
4/15/16 7:00 AM,2,2,1,0,1,1,0,0,2,9,,,
4/15/16 8:00 AM,0,0,1,0,0,1,2,0,3,7,,,
4/15/16 9:00 AM,0,1,1,0,0,1,2,1,1,7,,,
4/15/16 10:00 AM,2,1,0,0,0,3,1,0,1,8,,,
4/15/16 11:00 AM,1,2,0,0,1,1,1,2,2,10,,,
4/15/16 12:00 PM,0,0,0,0,0,1,3,0,1,5,,,
4/15/16 1:00 PM,2,0,1,1,0,2,2,1,1,10,,,
4/15/16 2:00 PM,2,2,2,0,0,1,2,0,0,9,,,
4/15/16 3:00 PM,1,2,0,1,0,1,0,0,0,5,,,
4/15/16 4:00 PM,3,2,1,1,1,2,2,1,1,14,,,
4/15/16 5:00 PM,3,3,2,0,0,1,2,1,2,14,,,
4/15/16 6:00 PM,1,0,1,0,0,2,0,2,3,9,,,
4/15/16 7:00 PM,1,1,1,0,0,1,1,0,0,5,,,
4/15/16 8:00 PM,2,1,1,1,1,1,0,2,2,11,,,
4/15/16 9:00 PM,1,0,2,0,0,2,0,2,0,7,,,
4/15/16 10:00 PM,1,3,0,0,1,0,1,0,3,9,,,
4/15/16 11:00 PM,4,1,1,1,1,0,1,0,0,9,,,
4/16/16 12:00 AM,2,1,0,0,1,1,1,1,4,11,,,
4/16/16 1:00 AM,2,0,2,0,0,0,0,1,1,6,,,
4/16/16 2:00 AM,1,0,1,0,0,0,1,0,0,3,,,
4/16/16 3:00 AM,3,1,1,0,0,1,1,3,3,13,,,
4/16/16 4:00 AM,2,0,2,0,0,0,0,0,1,5,,,
4/16/16 5:00 AM,2,2,0,1,0,1,0,1,0,7,,,
4/16/16 6:00 AM,2,1,2,0,0,2,1,0,1,9,,,
4/16/16 7:00 AM,2,1,0,0,0,2,1,1,1,8,,,
4/16/16 8:00 AM,2,1,4,1,1,0,0,2,2,13,,,
4/16/16 9:00 AM,2,2,1,0,0,1,1,2,3,12,,,
4/16/16 10:00 AM,3,1,1,0,1,1,0,0,2,9,,,
4/16/16 11:00 AM,0,0,0,1,0,3,1,1,2,8,,,
